"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"Ex[1]" 7.3589339954386 0.0977508434519298 7.16547277119793 7.294068749884 7.357822999926 7.42561024774094 7.54437097428347 1.00074212057023 2800
"Ex[2]" 7.69885749824561 0.0971304329970185 7.51087396404562 7.63201674901622 7.69774849973809 7.76641299941575 7.88598469975783 1.00084338753726 2800
"Ex[3]" 7.72289534175439 0.0959482817223555 7.5320179486461 7.6583787499994 7.72222699975111 7.78441449998608 7.91711690948283 1.00111800933302 2800
"Ex[4]" 7.4638982677193 0.0956846460633346 7.2750294131833 7.40048349999144 7.46375449980825 7.52720574957373 7.65335548905855 1.00298230833716 800
"Ex[5]" 7.72943126982456 0.0993484602440944 7.53544949832928 7.6649994999976 7.7285964999754 7.79317624933565 7.93498243816669 1.00080829166803 2800
"Ex[6]" 7.67412700070175 0.0979529565050992 7.48204627366086 7.61044224997505 7.67457199955118 7.74015074991249 7.86136925329619 1.00062154748407 2800
"Ex[7]" 7.76396984210526 0.0990535927291241 7.56877871391474 7.69892124974398 7.76391899930344 7.83088424992528 7.95188742433107 1.00230941990675 1100
"Ex[8]" 7.00637869578947 0.0976290561557118 6.82039899967275 6.94024049999951 7.00671549999984 7.07214899999809 7.1950655707387 1.00049515301757 2800
"Ex[9]" 7.76075510526316 0.0959692782678745 7.5703325458816 7.69799024996579 7.76174549989434 7.8240507499836 7.94962429950707 1.00059638100414 2800
"Ex[10]" 7.97948229298246 0.0994359659328473 7.77946397159752 7.91364524995592 7.97883599999899 8.04254724999943 8.17873229428778 1.00069205386453 2800
"px[1]" 7.35262039052632 0.239253870177478 6.8831778833688 7.19548824878799 7.34766649820309 7.51770499928169 7.82975814961476 1.00062422676537 2800
"px[2]" 7.69403122140351 0.236910166032161 7.22490159346325 7.5313882499014 7.69516999625739 7.85270599998453 8.15387459963799 1.00096328282717 2800
"px[3]" 7.72356758807018 0.244758466967373 7.23615305764588 7.56160624993393 7.7285484997786 7.87856649988572 8.21037142497654 1.00113566148812 2800
"px[4]" 7.46196405368421 0.239368298130823 6.98662330335645 7.30223549969552 7.46641549959778 7.62717599864516 7.91360567074509 1.00156228168728 1800
"px[5]" 7.72886503122807 0.246816293811889 7.25307512402363 7.5614914999821 7.72584349999532 7.89277574981441 8.21635162430998 1.00097649040624 2800
"px[6]" 7.67281401403509 0.236512867598868 7.21484204650232 7.5172622494342 7.67131949998981 7.83412924956344 8.14256880304443 1.00088808639909 2800
"px[7]" 7.7656563922807 0.240672715242975 7.29338781741014 7.60129873884611 7.76866749998454 7.93228124388996 8.21887457494346 1.00139859020569 2200
"px[8]" 7.0099378922807 0.245426315532118 6.52163644635728 6.85168499258837 7.00994399942225 7.17521924994814 7.47954397499906 1.00064161968878 2800
"px[9]" 7.75590012842105 0.240933894552521 7.30056289764574 7.60070774903989 7.75752649999986 7.91111074992225 8.22917033155224 1.00176793087107 1500
"px[10]" 7.98296583824561 0.242573735761572 7.49383560406724 7.82548974258016 7.98927599999975 8.14749474866198 8.43667774970134 1.00057829810977 2800
"sigma" 21.9234933221053 4.93378290203491 13.3699353001205 18.4315235858694 21.6641264950203 25.0507366142908 32.6528487077408 1.00075370769521 2800
"alpha.t[1]" -29257.5965221733 44530.5790525547 -80188.632813 -80186.919922 -35855.035156 28269.066406 28271.142578 103891.970874492 3
"alpha.t[2]" -33352.8506710151 50781.0781101772 -91394.296875 -91392.765625 -40941.140625 32274.972656 32277.312060575 113384.196222674 3
"alpha.t[3]" -33767.2707662793 51413.5810455008 -92528.2326173 -92526.695313 -41455.826172 32680.35449225 32682.685107575 113887.034889442 3
"alpha.t[4]" -31699.8154633596 48257.9288151728 -86870.992188 -86869.390625 -38888.123047 30657.82763675 30660.035156 110157.47953225 3
"alpha.t[5]" -34177.4428084765 52039.5819307349 -93650.506055075 -93649.00585975 -41965.230469 33081.49121125 33083.898438 114874.810437774 3
"alpha.t[6]" -34118.1935376407 51949.0711387623 -93488.3125 -93486.789063 -41891.638672 33023.449219 33025.8302733 114598.816855787 3
"alpha.t[7]" -34388.3799411425 52361.5526108463 -94227.710938 -94226.21875 -42227.212891 33287.87988325 33290.26084015 115516.059358117 3
"alpha.t[8]" -24622.2841256309 37455.9091920227 -67505.367188 -67503.40625 -30098.1816405 23734.933594 23736.743261925 90202.531384477 3
"alpha.t[9]" -34431.3823630175 52427.1812386765 -94345.375 -94343.88085975 -42280.617188 33329.9326175 33332.3302733 115223.37522649 3
"alpha.t[10]" -36903.105486653 56199.7601906288 -101108.671875 -101107.26953175 -45350.3671875 35747.753906 35750.320313 120180.628465315 3
"tau.t" 0 0 0 0 0 0 0 1 1
"beta0" -52.46033368 392.21905776058 -548.383643675 -547.45866375 -20.355768 410.92428575 411.685421725 824.95801421683 3
"beta1" 34.3994130038596 52.4999798579929 -33.6459562 -33.643409 42.721706 94.120047 94.122045425 116097.188166972 3
"deviance" -11.1917755122807 5.26872375898776 -19.153727975 -15.03863975 -11.9579475 -8.25470175 0.705130025000004 1.00052281587093 2800
